name,ra,dec,Class,significance,F_s,F_m,F_h,F_b,P_intra,P_inter,name_cat,ra_cat,dec_cat,SubClass,ref,MW_MW,p_any,p_i,G,BP,RP,RPlx,PM,epsi,sepsi,ruwe,rgeo,J,H,K,W1,W2,W3
2CXO J143157.9+341650,217.9914111,34.2806897,AGN,19.877130197899017,2.3313790761107946e-13,1.074921212102176e-13,2.8047874316262655e-13,6.211087719839238e-13,0.74237135956891,0.311,FIRST J14319+3416,217.99125,34.280556,Q;*|AGN|G|NIR|Opt|Q?|QSO|Rad|X,2010A&A...518A..10V,gcat,0.99877083,1.0,17.180609,17.249498,16.830078,0.2024,6.1e-05,0.0,0.0,1.009,,15.792,15.415,14.957,13.713,12.609,9.402
2CXO J143159.8+344108,217.9995321,34.6858114,LM-STAR,8.347845721979247,6.568142287970001e-15,1.1371542606174254e-15,9.448120391416159e-16,8.650108587729044e-15,0.9913905780259245,0.712,G15369948734597,217.999574,34.6857923,dM5;dM5,LAMOST-DR8-M,gcat,0.99859595,1.0,16.775383,18.320871,15.567426,109.1699,0.024073,0.0,0.0,1.017,162.607224,13.917,13.297,13.005,12.923,12.773,12.726
2CXO J143200.8+343123,218.0035058,34.5232349,LM-STAR,5.08571428571394,5.4383699407268565e-15,1.0923082688384594e-15,5.17855250936126e-16,7.048533460501442e-15,0.916252462081051,0.993,G15369957526698,218.003531,34.52318,K7;*|NIR|X,LAMOST-DR8-AFGK,gcat,0.99897283,1.0,14.503986,15.299251,13.612089,68.0537,0.033698,0.000372,70.32,2.488,331.975342,12.441,11.814,11.64,11.588,11.58,11.397
2CXO J143201.7+343526,218.0072838,34.590581,AGN,6.653160394538739,1.7993480158253058e-15,1.4389422761815762e-15,6.802056880265748e-15,1.004034717227263e-14,0.986591864673213,0.998,SDSS J14320+3435,218.0075,34.590556,Q;*|IR|Opt|QSO|X,2010A&A...518A..10V,gca,0.9990173,1.0,18.984539,19.317369,18.523035,-1.6603,1.7e-05,0.000519,1.41,1.055,,,,,14.218,12.921,10.285
2CXO J143210.9+354620,218.0457596,35.7723921,LM-STAR,5.834165895937134,6.8708245536214e-14,5.137516575990642e-15,7.978845608028655e-18,7.385374095781266e-14,0.04339205676125,,L15377845579228,218.045699,35.772446,G3;*|NIR|PM*,LAMOST-DR8-AFGK,gcat,0.99974483,1.0,8.7463,9.06989,8.252964,470.4711,0.066681,0.0001809999999999,53.84,1.461,89.0280609,7.708,7.405,7.417,7.326,7.363,7.336
2CXO J143217.0+344017,218.071232,34.6714985,LM-STAR,12.071937258281723,4.474648069522968e-14,1.0972375185113208e-14,7.388569019606109e-15,6.310742489994898e-14,0.9924047714245926,1.0,G15369950178038,218.071231,34.671378,dM4;X,LAMOST-DR8-M,gcat,0.9989634,1.0,14.617576,15.964767,13.298322,17.9526,0.010869,0.006713,20820.0,33.913,86.2422791,11.658,11.068,10.807,10.707,10.539,10.336
2CXO J143217.0+345228,218.0710471,34.8744445,AGN,5.4424016023392285,4.86615255927078e-15,2.68572890232762e-14,6.966817966217479e-14,1.0139162124472177e-13,0.85284403367021,,SDSS J14322+3452,218.070833,34.874444,A;*|AGN|LIN|NIR|Opt|Sy2|X,2010A&A...518A..10V,gcat,0.9993393,1.0,20.469421,19.025764,17.475491,-0.3169,0.000735,0.010078,108.2,1.744,,15.878,15.375,14.519,13.999,13.479,10.352
2CXO J143219.5+341728,218.0812579,34.2913345,AGN,11.94641442986908,9.255449994412937e-14,4.0847883264798537e-14,1.241570922501804e-13,2.575594754591084e-13,0.59213919991066,0.552,SDSS J14323+3417,218.08125,34.291389,Q;*|Opt|QSO|X,2010A&A...518A..10V,gca,0.99830574,1.0,19.430016,19.434361,19.066469,0.3004,0.000116,0.000314,0.2794,1.004,,,,,15.045,13.994,11.201
2CXO J143220.1+331511,218.0839988,33.2533137,AGN,3.757575757575829,1.2470820201979981e-14,1.0929572197702241e-14,1.2062210612841801e-14,3.5462603012524025e-14,0.72663292469097,,SDSS J14323+3315,218.08375,33.253333,Q;*|IR|Opt|QSO|X,2010A&A...518A..10V,gca,0.9992776,1.0,18.286606,18.44416,17.986017,-0.3198,1.7e-05,0.000121,0.2301,1.017,,,,,14.785,13.393,10.278
2CXO J143244.2+350100,218.1843614,35.0167579,AGN,5.419354838709803,3.284758554196445e-15,8.840870764290964e-15,3.0948071268745274e-14,4.3073700587232686e-14,0.23143356331385,0.572,SDSS J14327+3501,218.184583,35.016667,Q;*|Opt|QSO|UV|X,2010A&A...518A..10V,gca,0.9967254,1.0,18.839577,18.973507,18.540543,0.1885,0.000263,0.0,3.268e-15,0.947,,,,,14.988,13.813,11.341
